rsrc_id,priority,category,name,source_url,verified_url,publisher,license,legal_class,expected_format,expected_size_bytes,update_frequency,auto_acquisition,method,date_acquired,checksum_sha256,local_path,status,notes
RSRC-001,P0,D1,Datathon ERD/DB Design Doc,organizer Resources tab,UNVERIFIED-REQUIRES-VERIFICATION,Hack2Skill/KSP,Organizer terms,Authorized,PDF,2500000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Real schema for Blueprint Section 6; already in hand
RSRC-002,P0,D1,Challenge rules/timeline/submission requirements,https://hack2skill.com,UNVERIFIED-REQUIRES-VERIFICATION,Hack2Skill,Organizer terms,Authorized,HTML/PDF,500000,Ad-hoc,false,AUTO-BROWSER-WITH-USER-SESSION,,,,NOT-ACQUIRED,Login-gated dashboard; defines submission format
RSRC-003,P0,D1,Catalyst credit redemption,https://catalyst.zoho.com/promotions.html?cn=KSPH26,UNVERIFIED-REQUIRES-VERIFICATION,Hack2Skill/Zoho,Promo terms,Authorized,HTML,100000,One-time,false,AUTO-DIRECT-DOWNLOAD,2026-07-18,5677bb36405c69f505a34a2da5ba855f8ce8b33f90f28b65b0db1ba79b60822f,data/raw/RSRC-003/promotions_20260718.html,completed,Time-limited promo code for Catalyst credits
RSRC-004,P0,D1,Sample data files (organizer-provided),organizer Resources tab,UNVERIFIED-REQUIRES-VERIFICATION,Hack2Skill/KSP,Organizer terms,Authorized,CSV/XLSX,5000000,None,false,MANUAL-AUTHORIZED,,,,NOT-ACQUIRED,Sample FIR records for development and testing
RSRC-005,P0,D1,Datathon judging rubric,https://hack2skill.com,UNVERIFIED-REQUIRES-VERIFICATION,Hack2Skill,Organizer terms,Authorized,HTML/PDF,200000,Ad-hoc,false,AUTO-BROWSER-WITH-USER-SESSION,,,,NOT-ACQUIRED,Scoring criteria for final submission
RSRC-006,P1,D1,Catalyst project setup guide,https://catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Authorized,HTML,300000,Ad-hoc,false,AUTO-BROWSER-WITH-USER-SESSION,,,,NOT-ACQUIRED,Environment provisioning and deployment pipeline
RSRC-007,P1,D2,Zoho Catalyst documentation (general),https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,HTML,10000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,All Catalyst service docs; needed for Blueprint Section 15
RSRC-008,P1,D2,Catalyst QuickML documentation,https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,HTML,5000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,LLM serving RAG AutoML with feature importance
RSRC-009,P1,D2,Catalyst Functions quickstart,https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,HTML/ZIP,2000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Serverless function deployment and SDK reference
RSRC-010,P1,D2,Catalyst Data Store quickstart,https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,HTML/ZIP,2000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Relational database schema and query reference
RSRC-011,P1,D2,Catalyst AppSail documentation,https://help.catalyst.zoho.com,UNVERIFIED-REQUIRES-VERIFICATION,Zoho,Zoho ToS,Public,HTML,3000000,Continuous,true,AUTO-DIRECT-DOWNLOAD,,,,NOT-ACQUIRED,Always-on Python runtime for NetworkX/ML workloads
RSRC-012,P0,D3,NCRB Crime in India annual report,https://ncrb.gov.in,UNVERIFIED-REQUIRES-VERIFICATION,NCRB (MHA),Govt publication,Public,PDF,50000000,Annual,true,AUTO-DIRECT-DOWNLOAD,2026-07-18,8b705316abe60938fca46c39239641a0aea903bff966d97cd9637eb2393e12bd,data/raw/RSRC-012/R006_resource_20260718.html,completed,National crime baseline; latest full volume 2022
RSRC-013,P2,D3,NCRB catalog on OGD Platform,https://data.gov.in/ministrydepartment/National%20Crime%20Records%20Bureau%20(NCRB),UNVERIFIED-REQUIRES-VERIFICATION,NCRB/data.gov.in,GODL-India,Public,CSV/API,20000000,Annual,true,AUTO-API,,,,NOT-ACQUIRED,Machine-readable NCRB datasets via OGD API
